iteration,status,pshed_lower,pshed_upper,max_delta_w,mean_delta_w,w_min,w_max,jac_max,jac_nnz,n_pshed_zero,n_pshed_total,phase
1,LOCALLY_SOLVED,15827.762820989932,15997.480761840417,0.0,0.0,4.4999999938471955,5.500000036346063,30.00356294684359,675,0,45,warmstart
2,LOCALLY_SOLVED,15997.512096218134,16167.23000413876,0.0,0.0,3.999999992843227,6.000000078157715,30.003560137775942,675,0,45,warmstart
1,LOCALLY_SOLVED,16167.261368189027,16336.979343760688,0.0,0.0,3.499999997014114,6.5000001254045445,30.003560273647114,675,0,45,main
2,LOCALLY_SOLVED,16337.010639759963,16506.72870263167,0.0,0.0,3.0000000058377183,7.000000178176862,30.00356073351701,675,0,45,main
3,LOCALLY_SOLVED,16506.75991094314,16676.478107687497,0.0,0.0,2.5000000203880166,7.500000236195923,30.00356148070738,675,0,45,main
4,LOCALLY_SOLVED,16676.509172622613,16846.227295799923,0.0,0.0,2.0000000400251103,8.000000299563384,30.003561388239515,675,0,45,main
5,LOCALLY_SOLVED,16846.258451440423,17015.976520711516,0.0,0.0,1.5000000642067959,8.50000036825978,30.003561563285913,675,0,45,main
6,LOCALLY_SOLVED,17016.00768495474,17185.725477620737,0.0,0.0,1.0000001112322194,9.000000442303769,30.00356073978763,675,0,45,main
7,LOCALLY_SOLVED,17185.756966757403,17140.74026530906,0.0,0.0,1.0000000045905435,9.50000053156413,30.003559961405145,675,0,45,main
8,LOCALLY_SOLVED,17140.75717270538,17095.740211248187,0.0,0.0,1.0000000300547285,10.000000080635928,30.00355938333489,675,0,45,main
9,LOCALLY_SOLVED,17095.75725331483,17095.757284731128,0.0,0.0,1.0000000045310615,10.00000009430832,30.003559676410987,675,0,45,main
10,LOCALLY_SOLVED,17095.75728487435,17095.75728487435,0.0,0.0,1.0000000045310615,10.00000009430832,30.00355968869101,675,0,45,main
11,LOCALLY_SOLVED,17095.75728487521,17095.75728487521,0.0,0.0,1.0000000045310615,10.00000009430832,30.003559677088624,675,0,45,main
12,LOCALLY_SOLVED,17095.757244818225,17095.757244818225,0.0,0.0,1.0000000045310615,10.00000009430832,30.003559677299105,675,0,45,main
13,LOCALLY_SOLVED,17095.7572148205,17095.757214820485,0.0,0.0,1.0000000045310666,10.00000009430832,30.00355925449339,675,0,45,main
14,LOCALLY_SOLVED,17095.75728485642,17095.757284856423,0.0,0.0,1.0000000045310615,10.00000009430832,30.003559687997985,675,0,45,main
15,LOCALLY_SOLVED,17095.757214819863,17095.757214819852,0.0,0.0,1.0000000045310666,10.00000009430832,30.003559266758636,675,0,45,main
16,LOCALLY_SOLVED,17095.756546617817,17095.75654661783,0.0,0.0,1.0000000045310609,10.00000009430832,30.00355968704613,675,0,45,main
17,LOCALLY_SOLVED,17095.757253167514,17095.757253167514,0.0,0.0,1.0000000045310615,10.00000009430832,30.003559677089747,675,0,45,main
18,LOCALLY_SOLVED,17095.757284875912,17095.757284875912,0.0,0.0,1.0000000045310615,10.00000009430832,30.003559687208135,675,0,45,main
19,LOCALLY_SOLVED,17095.75721482067,17095.757214820664,0.0,0.0,1.0000000045310666,10.00000009430832,30.00355925542419,675,0,45,main
20,LOCALLY_SOLVED,17095.75724481817,17095.757244818178,0.0,0.0,1.0000000045310615,10.00000009430832,30.003559677424914,675,0,45,main
